scene_id,checkpoint_path,checkpoint_read_ok,checkpoint_read_error,year,acquisition_date,orbit_state,relative_orbit,platform,rows_n,zero_support_checkpoint,scene_id_values_n,scene_id_matches_filename,support_ids_n,duplicate_support_rows_n,vv_raster_inside_n,vv_calibration_fail_n,vv_noise_fail_n,vv_nonpositive_n,vv_valid_corrected_sigma0_n,vh_raster_inside_n,vh_calibration_fail_n,vh_noise_fail_n,vh_nonpositive_n,vh_valid_corrected_sigma0_n
S1A_IW_GRDH_1SDV_20150403T052645_20150403T052710_005315_006BAF_A1B7_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150403T052645_20150403T052710_005315_006BAF_A1B7_COG.csv.gz,True,,2015,2015-04-03,descending,168,sentinel-1a,2310,False,1,True,2310,0,2310,0,0,130,2180,2310,0,0,133,2177
S1A_IW_GRDH_1SDV_20150403T052710_20150403T052735_005315_006BAF_18BD_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150403T052710_20150403T052735_005315_006BAF_18BD_COG.csv.gz,True,,2015,2015-04-03,descending,168,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20150404T171422_20150404T171447_005337_006C3A_D8EE_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150404T171422_20150404T171447_005337_006C3A_D8EE_COG.csv.gz,True,,2015,2015-04-04,ascending,15,sentinel-1a,4331,False,1,True,4331,0,4331,0,0,0,4331,4331,0,0,0,4331
S1A_IW_GRDH_1SDV_20150415T052640_20150415T052705_005490_007029_3A38_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150415T052640_20150415T052705_005490_007029_3A38_COG.csv.gz,True,,2015,2015-04-15,descending,168,sentinel-1a,616,False,1,True,616,0,616,0,0,49,567,616,0,0,50,566
S1A_IW_GRDH_1SDV_20150415T052705_20150415T052730_005490_007029_EBC9_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150415T052705_20150415T052730_005490_007029_EBC9_COG.csv.gz,True,,2015,2015-04-15,descending,168,sentinel-1a,1692,False,1,True,1692,0,1692,0,0,78,1614,1692,0,0,82,1610
S1A_IW_GRDH_1SDV_20150416T171423_20150416T171448_005512_00709D_38D0_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150416T171423_20150416T171448_005512_00709D_38D0_COG.csv.gz,True,,2015,2015-04-16,ascending,15,sentinel-1a,4331,False,1,True,4331,0,4331,0,0,0,4331,4331,0,0,0,4331
S1A_IW_GRDH_1SDV_20150421T172237_20150421T172302_005585_007258_FE7B_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150421T172237_20150421T172302_005585_007258_FE7B_COG.csv.gz,True,,2015,2015-04-21,ascending,88,sentinel-1a,3827,False,1,True,3827,0,3827,0,0,89,3738,3827,0,0,90,3737
S1A_IW_GRDH_1SDV_20150427T052641_20150427T052706_005665_007448_066B_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150427T052641_20150427T052706_005665_007448_066B_COG.csv.gz,True,,2015,2015-04-27,descending,168,sentinel-1a,616,False,1,True,616,0,616,0,0,51,565,616,0,0,52,564
S1A_IW_GRDH_1SDV_20150427T052706_20150427T052731_005665_007448_072D_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150427T052706_20150427T052731_005665_007448_072D_COG.csv.gz,True,,2015,2015-04-27,descending,168,sentinel-1a,1690,False,1,True,1690,0,1690,0,0,79,1611,1690,0,0,83,1607
S1A_IW_GRDH_1SDV_20150428T171438_20150428T171510_005687_0074BD_CDC0_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150428T171438_20150428T171510_005687_0074BD_CDC0_COG.csv.gz,True,,2015,2015-04-28,ascending,15,sentinel-1a,3101,False,1,True,3101,0,3101,0,0,0,3101,3101,0,0,0,3101
S1A_IW_GRDH_1SDV_20150502T053449_20150502T053518_005738_0075E4_6258_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150502T053449_20150502T053518_005738_0075E4_6258_COG.csv.gz,True,,2015,2015-05-02,descending,66,sentinel-1a,2817,False,1,True,2817,0,2817,0,0,0,2817,2817,0,0,0,2817
S1A_IW_GRDH_1SDV_20150502T053518_20150502T053543_005738_0075E4_5FF8_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150502T053518_20150502T053543_005738_0075E4_5FF8_COG.csv.gz,True,,2015,2015-05-02,descending,66,sentinel-1a,1514,False,1,True,1514,0,1514,0,0,0,1514,1514,0,0,0,1514
S1A_IW_GRDH_1SDV_20150509T052653_20150509T052718_005840_007841_A5F8_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150509T052653_20150509T052718_005840_007841_A5F8_COG.csv.gz,True,,2015,2015-05-09,descending,168,sentinel-1a,2343,False,1,True,2343,0,2343,0,0,143,2200,2343,0,0,147,2196
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.csv.gz,True,,2015,2015-05-14,descending,66,sentinel-1a,2812,False,1,True,2812,0,2812,0,0,0,2812,2812,0,0,0,2812
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.csv.gz,True,,2015,2015-05-14,descending,66,sentinel-1a,1519,False,1,True,1519,0,1519,0,0,0,1519,1519,0,0,0,1519
S1A_IW_GRDH_1SDV_20150515T172239_20150515T172304_005935_007A51_F1D6_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150515T172239_20150515T172304_005935_007A51_F1D6_COG.csv.gz,True,,2015,2015-05-15,ascending,88,sentinel-1a,3873,False,1,True,3873,0,3873,0,0,114,3759,3873,0,0,118,3755
S1A_IW_GRDH_1SDV_20150521T052640_20150521T052709_006015_007C1A_4BDE_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150521T052640_20150521T052709_006015_007C1A_4BDE_COG.csv.gz,True,,2015,2015-05-21,descending,168,sentinel-1a,1284,False,1,True,1284,0,1284,0,0,47,1237,1284,0,0,47,1237
