scene_id,checkpoint_path,checkpoint_read_ok,checkpoint_read_error,year,acquisition_date,orbit_state,relative_orbit,platform,rows_n,zero_support_checkpoint,scene_id_values_n,scene_id_matches_filename,support_ids_n,duplicate_support_rows_n,vv_raster_inside_n,vv_calibration_fail_n,vv_noise_fail_n,vv_nonpositive_n,vv_valid_corrected_sigma0_n,vh_raster_inside_n,vh_calibration_fail_n,vh_noise_fail_n,vh_nonpositive_n,vh_valid_corrected_sigma0_n
S1A_IW_GRDH_1SDV_20150403T052710_20150403T052735_005315_006BAF_18BD_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150403T052710_20150403T052735_005315_006BAF_18BD_COG.csv.gz,True,,2015,2015-04-03,descending,168,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20150720T052637_20150720T052706_006890_0094E5_8481_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150720T052637_20150720T052706_006890_0094E5_8481_COG.csv.gz,True,,2015,2015-07-20,descending,168,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20150806T053448_20150806T053517_007138_009BD3_9AB9_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150806T053448_20150806T053517_007138_009BD3_9AB9_COG.csv.gz,True,,2015,2015-08-06,descending,66,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20150818T053449_20150818T053518_007313_00A098_4D22_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150818T053449_20150818T053518_007313_00A098_4D22_COG.csv.gz,True,,2015,2015-08-18,descending,66,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20150830T053449_20150830T053518_007488_00A55C_50E8_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150830T053449_20150830T053518_007488_00A55C_50E8_COG.csv.gz,True,,2015,2015-08-30,descending,66,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20150911T053450_20150911T053519_007663_00AA27_A71D_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150911T053450_20150911T053519_007663_00AA27_A71D_COG.csv.gz,True,,2015,2015-09-11,descending,66,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20150923T053450_20150923T053519_007838_00AEBF_C1A1_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20150923T053450_20150923T053519_007838_00AEBF_C1A1_COG.csv.gz,True,,2015,2015-09-23,descending,66,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160515T052718_20160515T052743_011265_0110E3_1A44_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160515T052718_20160515T052743_011265_0110E3_1A44_COG.csv.gz,True,,2016,2016-05-15,descending,168,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160602T172305_20160602T172330_011535_0119AA_75D4_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160602T172305_20160602T172330_011535_0119AA_75D4_COG.csv.gz,True,,2016,2016-06-02,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160614T172306_20160614T172331_011710_011F26_0FB0_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160614T172306_20160614T172331_011710_011F26_0FB0_COG.csv.gz,True,,2016,2016-06-14,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160708T172308_20160708T172333_012060_012A5B_B97B_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160708T172308_20160708T172333_012060_012A5B_B97B_COG.csv.gz,True,,2016,2016-07-08,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160720T172308_20160720T172333_012235_013003_368E_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160720T172308_20160720T172333_012235_013003_368E_COG.csv.gz,True,,2016,2016-07-20,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160801T172309_20160801T172334_012410_0135D4_D960_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160801T172309_20160801T172334_012410_0135D4_D960_COG.csv.gz,True,,2016,2016-08-01,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160813T172310_20160813T172335_012585_013B95_5BA5_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160813T172310_20160813T172335_012585_013B95_5BA5_COG.csv.gz,True,,2016,2016-08-13,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160906T172310_20160906T172335_012935_014746_4725_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160906T172310_20160906T172335_012935_014746_4725_COG.csv.gz,True,,2016,2016-09-06,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160918T172311_20160918T172336_013110_014CF7_4BD1_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160918T172311_20160918T172336_013110_014CF7_4BD1_COG.csv.gz,True,,2016,2016-09-18,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20160930T172311_20160930T172336_013285_01529D_E5CC_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20160930T172311_20160930T172336_013285_01529D_E5CC_COG.csv.gz,True,,2016,2016-09-30,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1B_IW_GRDH_1SDV_20170403T053450_20170403T053515_004992_008BB2_4958_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20170403T053450_20170403T053515_004992_008BB2_4958_COG.csv.gz,True,,2017,2017-04-03,descending,66,sentinel-1b,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170410T172308_20170410T172333_016085_01A8EA_8A04_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170410T172308_20170410T172333_016085_01A8EA_8A04_COG.csv.gz,True,,2017,2017-04-10,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1B_IW_GRDH_1SDV_20170415T053451_20170415T053516_005167_0090B0_66A4_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20170415T053451_20170415T053516_005167_0090B0_66A4_COG.csv.gz,True,,2017,2017-04-15,descending,66,sentinel-1b,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170422T172309_20170422T172334_016260_01AE45_5A07_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170422T172309_20170422T172334_016260_01AE45_5A07_COG.csv.gz,True,,2017,2017-04-22,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1B_IW_GRDH_1SDV_20170427T053451_20170427T053516_005342_0095D4_A3D6_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20170427T053451_20170427T053516_005342_0095D4_A3D6_COG.csv.gz,True,,2017,2017-04-27,descending,66,sentinel-1b,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170504T172310_20170504T172335_016435_01B38C_2B43_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170504T172310_20170504T172335_016435_01B38C_2B43_COG.csv.gz,True,,2017,2017-05-04,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170516T172310_20170516T172335_016610_01B8E6_54C7_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170516T172310_20170516T172335_016610_01B8E6_54C7_COG.csv.gz,True,,2017,2017-05-16,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170523T171422_20170523T171447_016712_01BC02_B420_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170523T171422_20170523T171447_016712_01BC02_B420_COG.csv.gz,True,,2017,2017-05-23,ascending,15,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170528T172311_20170528T172336_016785_01BE48_4B69_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170528T172311_20170528T172336_016785_01BE48_4B69_COG.csv.gz,True,,2017,2017-05-28,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170604T171423_20170604T171448_016887_01C16E_6974_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170604T171423_20170604T171448_016887_01C16E_6974_COG.csv.gz,True,,2017,2017-06-04,ascending,15,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170609T172312_20170609T172337_016960_01C3B4_9244_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170609T172312_20170609T172337_016960_01C3B4_9244_COG.csv.gz,True,,2017,2017-06-09,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170616T171424_20170616T171449_017062_01C6D3_A910_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170616T171424_20170616T171449_017062_01C6D3_A910_COG.csv.gz,True,,2017,2017-06-16,ascending,15,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170628T171425_20170628T171450_017237_01CC21_A383_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170628T171425_20170628T171450_017237_01CC21_A383_COG.csv.gz,True,,2017,2017-06-28,ascending,15,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170703T172313_20170703T172338_017310_01CE63_BE8B_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170703T172313_20170703T172338_017310_01CE63_BE8B_COG.csv.gz,True,,2017,2017-07-03,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170710T171425_20170710T171450_017412_01D169_8174_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170710T171425_20170710T171450_017412_01D169_8174_COG.csv.gz,True,,2017,2017-07-10,ascending,15,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170715T172314_20170715T172339_017485_01D3AA_513D_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170715T172314_20170715T172339_017485_01D3AA_513D_COG.csv.gz,True,,2017,2017-07-15,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170722T171426_20170722T171451_017587_01D6BC_62A4_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170722T171426_20170722T171451_017587_01D6BC_62A4_COG.csv.gz,True,,2017,2017-07-22,ascending,15,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170727T172314_20170727T172339_017660_01D903_9CA5_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170727T172314_20170727T172339_017660_01D903_9CA5_COG.csv.gz,True,,2017,2017-07-27,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20170803T171427_20170803T171452_017762_01DC14_7495_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20170803T171427_20170803T171452_017762_01DC14_7495_COG.csv.gz,True,,2017,2017-08-03,ascending,15,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
