year,orbit_state,relative_orbit,support_rows_n,support_dates_median,support_dates_min,support_dates_max,both_fraction_median,both_fraction_min,both_fraction_max,max_gap_days_median,max_gap_days_max
2015,ascending,15,4331,14.0,14,14,1.0,0.7142857142857143,1.0,24.0,24.0
2015,ascending,88,4331,10.0,10,10,1.0,0.0,1.0,48.0,48.0
2015,descending,66,4331,12.0,12,12,1.0,0.8333333333333334,1.0,24.0,24.0
2015,descending,168,4331,15.0,15,15,0.2666666666666666,0.0,1.0,24.0,24.0
2016,ascending,15,4331,12.0,12,12,1.0,0.75,1.0,36.0,36.0
2016,ascending,88,4331,15.0,15,15,1.0,0.0,1.0,24.0,24.0
2016,descending,66,4331,15.0,15,15,1.0,0.8,1.0,24.0,24.0
2016,descending,168,4331,14.0,14,14,0.0,0.0,1.0,36.0,36.0
2017,ascending,15,4331,30.0,30,30,1.0,0.8666666666666667,1.0,6.0,6.0
2017,ascending,88,4331,28.0,28,28,1.0,0.0,1.0,12.0,12.0
2017,descending,66,4331,30.0,30,30,1.0,0.8333333333333334,1.0,12.0,12.0
2017,descending,168,4331,30.0,30,30,0.0,0.0,1.0,6.0,6.0
2018,ascending,15,4331,28.0,28,28,1.0,0.6785714285714286,1.0,12.0,12.0
2018,ascending,88,4331,29.0,29,29,0.9310344827586208,0.0,1.0,12.0,12.0
2018,descending,66,4331,30.0,30,30,1.0,0.8,1.0,6.0,6.0
2018,descending,168,4331,30.0,30,30,0.0,0.0,1.0,6.0,6.0
2019,ascending,15,4331,28.0,28,28,1.0,0.6428571428571429,1.0,12.0,12.0
2019,ascending,88,4331,30.0,30,30,1.0,0.0,1.0,6.0,6.0
2019,descending,66,4331,29.0,29,29,1.0,0.7241379310344828,1.0,12.0,12.0
2019,descending,168,4331,29.0,29,29,0.0,0.0,1.0,12.0,12.0
2020,ascending,15,4331,29.0,29,29,0.9655172413793104,0.5172413793103449,1.0,12.0,12.0
2020,ascending,88,4331,28.0,28,28,1.0,0.0,1.0,12.0,12.0
2020,descending,66,4331,30.0,30,30,1.0,0.7666666666666667,1.0,6.0,6.0
2020,descending,168,4331,30.0,30,30,0.0,0.0,1.0,6.0,6.0
2021,ascending,15,4331,31.0,31,31,0.967741935483871,0.4516129032258064,1.0,6.0,6.0
2021,ascending,88,4331,30.0,30,30,1.0,0.0,1.0,12.0,12.0
2021,descending,66,4331,29.0,29,29,0.9655172413793104,0.4482758620689655,1.0,12.0,12.0
2021,descending,168,4331,31.0,31,31,0.0,0.0,1.0,6.0,6.0
2022,ascending,15,4331,16.0,16,16,1.0,0.3125,1.0,12.0,12.0
2022,ascending,88,4331,15.0,15,15,1.0,0.0,1.0,12.0,12.0
2022,descending,66,4331,15.0,15,15,1.0,0.5333333333333333,1.0,12.0,12.0
2022,descending,168,4331,14.0,14,14,0.0,0.0,1.0,24.0,24.0
2023,ascending,15,4331,15.0,15,15,1.0,0.4666666666666667,1.0,12.0,12.0
2023,ascending,88,4331,16.0,16,16,1.0,0.0,1.0,12.0,12.0
2023,descending,66,4331,16.0,16,16,1.0,0.5,1.0,12.0,12.0
2023,descending,168,4331,15.0,15,15,0.0,0.0,1.0,12.0,12.0
2024,ascending,15,4331,15.0,15,15,1.0,0.4,1.0,12.0,12.0
2024,ascending,88,4331,15.0,15,15,0.9333333333333332,0.0,0.9333333333333332,12.0,12.0
2024,descending,66,4331,15.0,15,15,1.0,0.4666666666666667,1.0,12.0,12.0
2024,descending,168,4331,16.0,16,16,0.0,0.0,1.0,12.0,12.0
2025,ascending,15,4331,27.0,27,27,1.0,0.5555555555555556,1.0,12.0,12.0
2025,ascending,88,4331,30.0,30,30,0.9666666666666668,0.0,0.9666666666666668,6.0,6.0
2025,descending,66,4331,29.0,29,29,0.9655172413793104,0.5517241379310345,1.0,12.0,12.0
2025,descending,168,4331,30.0,30,30,0.0,0.0,1.0,6.0,6.0
