year,orbit_state,relative_orbit,file_path,file_acquisition_dates_n,file_support_ids_n,feature_rows_n,median_support_dates_n,min_support_dates_n,max_support_dates_n,median_both_observed_fraction,support_rows_with_zero_both_observed_n
2015,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2015\ascending_15.csv.gz,14,4331,4331,14.0,14,14,1.0,0
2015,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2015\ascending_88.csv.gz,10,4331,4331,10.0,10,10,1.0,572
2015,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2015\descending_66.csv.gz,12,4331,4331,12.0,12,12,1.0,0
2015,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2015\descending_168.csv.gz,15,4331,4331,15.0,15,15,0.26666666666666666,2135
2016,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2016\ascending_15.csv.gz,12,4331,4331,12.0,12,12,1.0,0
2016,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2016\ascending_88.csv.gz,15,4331,4331,15.0,15,15,1.0,617
2016,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2016\descending_66.csv.gz,15,4331,4331,15.0,15,15,1.0,0
2016,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2016\descending_168.csv.gz,14,4331,4331,14.0,14,14,0.0,2209
2017,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2017\ascending_15.csv.gz,30,4331,4331,30.0,30,30,1.0,0
2017,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2017\ascending_88.csv.gz,28,4331,4331,28.0,28,28,1.0,614
2017,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2017\descending_66.csv.gz,30,4331,4331,30.0,30,30,1.0,0
2017,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2017\descending_168.csv.gz,30,4331,4331,30.0,30,30,0.0,2212
2018,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2018\ascending_15.csv.gz,28,4331,4331,28.0,28,28,1.0,0
2018,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2018\ascending_88.csv.gz,29,4331,4331,29.0,29,29,0.9310344827586207,618
2018,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2018\descending_66.csv.gz,30,4331,4331,30.0,30,30,1.0,0
2018,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2018\descending_168.csv.gz,30,4331,4331,30.0,30,30,0.0,2220
2019,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2019\ascending_15.csv.gz,28,4331,4331,28.0,28,28,1.0,0
2019,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2019\ascending_88.csv.gz,30,4331,4331,30.0,30,30,1.0,619
2019,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2019\descending_66.csv.gz,29,4331,4331,29.0,29,29,1.0,0
2019,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2019\descending_168.csv.gz,29,4331,4331,29.0,29,29,0.0,2199
2020,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2020\ascending_15.csv.gz,29,4331,4331,29.0,29,29,0.9655172413793104,0
2020,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2020\ascending_88.csv.gz,28,4331,4331,28.0,28,28,1.0,669
2020,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2020\descending_66.csv.gz,30,4331,4331,30.0,30,30,1.0,0
2020,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2020\descending_168.csv.gz,30,4331,4331,30.0,30,30,0.0,2196
2021,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2021\ascending_15.csv.gz,31,4331,4331,31.0,31,31,0.967741935483871,0
2021,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2021\ascending_88.csv.gz,30,4331,4331,30.0,30,30,1.0,672
2021,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2021\descending_66.csv.gz,29,4331,4331,29.0,29,29,0.9655172413793104,0
2021,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2021\descending_168.csv.gz,31,4331,4331,31.0,31,31,0.0,2204
2022,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2022\ascending_15.csv.gz,16,4331,4331,16.0,16,16,1.0,0
2022,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2022\ascending_88.csv.gz,15,4331,4331,15.0,15,15,1.0,670
2022,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2022\descending_66.csv.gz,15,4331,4331,15.0,15,15,1.0,0
2022,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2022\descending_168.csv.gz,14,4331,4331,14.0,14,14,0.0,2214
2023,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2023\ascending_15.csv.gz,15,4331,4331,15.0,15,15,1.0,0
2023,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2023\ascending_88.csv.gz,16,4331,4331,16.0,16,16,1.0,672
2023,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2023\descending_66.csv.gz,16,4331,4331,16.0,16,16,1.0,0
2023,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2023\descending_168.csv.gz,15,4331,4331,15.0,15,15,0.0,2214
2024,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2024\ascending_15.csv.gz,15,4331,4331,15.0,15,15,1.0,0
2024,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2024\ascending_88.csv.gz,15,4331,4331,15.0,15,15,0.9333333333333333,664
2024,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2024\descending_66.csv.gz,15,4331,4331,15.0,15,15,1.0,0
2024,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2024\descending_168.csv.gz,16,4331,4331,16.0,16,16,0.0,2204
2025,ascending,15,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2025\ascending_15.csv.gz,27,4331,4331,27.0,27,27,1.0,0
2025,ascending,88,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2025\ascending_88.csv.gz,30,4331,4331,30.0,30,30,0.9666666666666667,664
2025,descending,66,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2025\descending_66.csv.gz,29,4331,4331,29.0,29,29,0.9655172413793104,0
2025,descending,168,outputs\diagnostics\design_c\c2v\primary_mosaic\year=2025\descending_168.csv.gz,30,4331,4331,30.0,30,30,0.0,2202
