year,support_rows_n,zero_track_rows_n,one_track_rows_n,two_track_rows_n,three_track_rows_n,four_track_rows_n,primary_eligible_rows_n,complete4_rows_n,primary_exposure_median,primary_exposure_p10,primary_exposure_p90,primary_eligible_fraction,complete4_fraction
2015,4331,0,0,0,2703,1628,4331,1628,-0.5990299245917601,-1.4327755369493564,0.33429381552493753,1.0,0.3758947125375202
2016,4331,0,0,0,2824,1507,4331,1507,0.049858295372853474,-0.7938736812058754,1.1667983369126076,1.0,0.34795659201108287
2017,4331,0,0,0,2826,1505,4331,1505,0.22912942772551467,-0.5422689006802517,1.2037315246256202,1.0,0.34749480489494344
2018,4331,0,0,0,2838,1493,4331,1493,-0.14230977339928635,-0.9457590691248067,0.9255353577701381,1.0,0.3447240821981067
2019,4331,0,0,0,2818,1513,4331,1513,-0.12780861304230956,-0.9110433024129846,0.9508061086763662,1.0,0.34934195335950124
2020,4331,0,0,0,2865,1466,4331,1466,-0.04716307558937853,-0.8077678772479662,0.9099670874660317,1.0,0.338489956130224
2021,4331,0,0,0,2876,1455,4331,1455,0.31813473585010105,-0.542308077407682,1.2236490305358916,1.0,0.33595012699145693
2022,4331,0,0,0,2884,1447,4331,1447,0.38184754921244546,-0.6921233737048684,1.443047966356911,1.0,0.3341029785268991
2023,4331,0,0,0,2886,1445,4331,1445,0.04526181438839603,-0.9299788652713429,1.1466105789533083,1.0,0.33364119141075965
2024,4331,0,0,0,2868,1463,4331,1463,-0.3095700735027356,-1.2322480187348397,0.7705607439392055,1.0,0.3377972754560148
2025,4331,0,0,0,2866,1465,4331,1465,0.03955239096747213,-0.7643112358977455,0.9696293727102994,1.0,0.3382590625721542
