station,first_valid_year,last_valid_year,s1_era_valid_years_n,s1_era_aug_years_n,s1_era_janfeb_years_n,s1_era_temporally_eligible_years_n,eligible_years
PO018003NR0009,2016,2023,8,8,8,8,2016;2017;2018;2019;2020;2021;2022;2023
PO0180130U0005,2008,2019,5,3,5,3,2016;2017;2018
PO0180130U0006,2021,2022,2,0,0,0,
PO018014NRP001,2015,2023,9,8,6,6,2016;2017;2018;2019;2020;2021
PO018032NR0001,2010,2020,6,5,4,3,2017;2018;2019
PO0180350U0002,2014,2023,9,4,4,3,2016;2018;2019
PO018039NR0001,2018,2023,6,5,4,4,2019;2020;2021;2022
PO018039NRP001,2016,2018,3,3,3,3,2016;2017;2018
PO018043NUP001,2016,2023,8,7,6,5,2017;2018;2019;2022;2023
PO0180470U0001,2008,2023,9,6,8,6,2016;2017;2018;2019;2020;2021
PO018047NR0001,2008,2023,9,7,9,7,2016;2017;2019;2020;2021;2022;2023
PO0180480U0004,2013,2023,9,6,8,5,2017;2018;2021;2022;2023
PO018048NRP001,2016,2023,8,5,6,4,2018;2021;2022;2023
PO0180490U0003,2008,2022,7,4,5,4,2015;2016;2017;2018
PO0180500U0002,2008,2019,5,4,4,4,2015;2016;2017;2018
PO018062NRD002,2008,2023,9,5,7,5,2016;2017;2018;2019;2020
PO018065NRG001,2014,2023,9,7,5,4,2016;2017;2019;2022
PO018068NRP001,2008,2019,5,3,5,3,2016;2017;2018
PO0180690U0002,2008,2023,9,5,5,4,2015;2016;2018;2019
PO018072NUP001,2015,2023,9,8,6,6,2017;2018;2019;2021;2022;2023
PO0180810U0111,2014,2023,9,8,7,7,2016;2017;2018;2019;2021;2022;2023
PO0180880U0001,2008,2023,9,9,8,8,2015;2016;2017;2018;2019;2020;2021;2022
PO0181100U0111,2016,2023,8,8,6,6,2017;2018;2019;2021;2022;2023
PO0181140U0002,2008,2023,9,6,8,5,2017;2018;2021;2022;2023
PO0181150U0006,2009,2023,9,7,8,7,2015;2016;2017;2018;2019;2020;2021
PO0181180U0019,2008,2022,7,4,5,4,2015;2016;2017;2018
PO0181220U0001,2014,2023,9,5,5,3,2016;2017;2019
PO018146NRP001,2015,2021,7,5,5,5,2016;2017;2018;2019;2020
PO018147NUP001,2015,2023,9,8,7,7,2016;2017;2018;2019;2020;2021;2022
PO0181550U0001,2008,2023,9,7,8,7,2015;2016;2017;2018;2019;2020;2021
PO018162NUP001,2015,2023,9,8,6,6,2017;2018;2019;2021;2022;2023
PO018173NUP001,2015,2023,9,8,6,6,2017;2018;2019;2021;2022;2023
PO018176NUP001,2015,2023,9,8,6,6,2017;2018;2019;2021;2022;2023
PO0181770U0020,2008,2023,9,4,5,3,2015;2016;2018
PO018180NUP001,2015,2023,9,5,6,4,2018;2021;2022;2023
