station,year,utm_e,utm_n,gw_aug_m,gw_aug_obs_n,gw_aug_mean_m_descriptive,gw_aug_first_date,gw_aug_last_date,gw_pre_last_janfeb_m,gw_pre_last_janfeb_date,gw_janfeb_obs_n,s1_flooding_like_5km,s1_support_points_5km_n,s1_valid_support_points_5km_n,s1_flooding_like_10km,s1_support_points_10km_n,s1_valid_support_points_10km_n,s1_flooding_like_20km,s1_support_points_20km_n,s1_valid_support_points_20km_n,s1_flooding_like_complete4_10km,s1_complete4_support_points_10km_n,s1_complete4_valid_support_points_10km_n,primary_complete
PO018003NR0009,2016,477798.0,5014771.0,0.7,1,0.7,2016-08-16,2016-08-16,2.18,2016-02-15,2,0.09799688680338095,74,74,0.20625548733178295,340,340,0.1860190807502495,1209,1209,0.19048824936986258,340,240,True
PO018003NR0009,2017,477798.0,5014771.0,1.15,1,1.15,2017-08-31,2017-08-31,2.18,2017-02-28,2,0.2745391192190044,74,74,0.3370258648997787,340,340,0.3410440654520749,1209,1209,0.35569070594922886,340,240,True
PO018003NR0009,2018,477798.0,5014771.0,0.62,1,0.62,2018-08-31,2018-08-31,2.1,2018-02-28,2,-0.041063909241239455,74,74,0.06499840306667175,340,340,0.0087608083312357,1209,1209,-0.0100978662512825,340,235,True
PO018003NR0009,2019,477798.0,5014771.0,0.35,1,0.35,2019-08-31,2019-08-31,2.2,2019-02-28,2,-0.09720446328084509,74,74,0.0139666433616062,340,340,-0.0104387104754326,1209,1209,0.03021198081155315,340,244,True
PO018003NR0009,2020,477798.0,5014771.0,0.55,1,0.55,2020-08-31,2020-08-31,2.03,2020-02-29,2,-0.10349541796010925,74,74,0.14474594585926298,340,340,0.113841820365378,1209,1209,0.1692522326231608,340,248,True
PO018003NR0009,2021,477798.0,5014771.0,0.92,1,0.92,2021-08-31,2021-08-31,2.28,2021-02-28,2,0.4027741336934429,74,74,0.5707404940961289,340,340,0.4823354538052192,1209,1209,0.6004655937592653,340,243,True
PO018003NR0009,2022,477798.0,5014771.0,0.86,1,0.86,2022-08-31,2022-08-31,2.58,2022-02-28,2,0.6574739166381136,74,74,0.728706046674471,340,340,0.5885254022595859,1209,1209,0.7115860859699776,340,238,True
PO018003NR0009,2023,477798.0,5014771.0,0.53,1,0.53,2023-08-31,2023-08-31,2.09,2023-02-28,2,-0.025231286675775948,74,74,0.0904906035429528,340,340,0.0956362166619664,1209,1209,0.1186865588714468,340,238,True
PO0180130U0005,2016,523764.0,5000838.0,10.7,1,10.7,2016-08-24,2016-08-24,12.2,2016-02-25,2,0.1168116575412354,64,64,-0.0286102531555436,217,217,-0.0630164208527516,622,622,,217,0,True
PO0180130U0005,2017,523764.0,5000838.0,10.3,1,10.3,2017-08-28,2017-08-28,11.95,2017-02-21,2,0.1087965202711092,64,64,0.1554199490269129,217,217,0.18115031133355547,622,622,,217,0,True
