station,primary_years_n,first_primary_year,last_primary_year,s1_10km_mean,s1_10km_sd_within_station,s1_10km_range_within_station
PO018003NR0009,8,2016,2023,0.2696161861040819,0.2577101552832245,0.7147394033128648
PO0180130U0005,3,2016,2018,-0.08688674490168517,0.2760968443528651,0.5428898796033377
PO018014NRP001,6,2016,2021,-0.08485543949389579,0.21008850597926684,0.524441482450517
PO018032NR0001,3,2017,2019,0.033998506978248695,0.24630501791532225,0.47145700575112937
PO0180350U0002,3,2016,2019,0.19846567998420886,0.17566632976145374,0.3465453678925433
PO018039NR0001,6,2019,2025,0.23732373857936725,0.31954451846895454,0.817208653055746
PO018039NRP001,3,2016,2018,0.17296127257762806,0.19245975373387,0.38446824111829875
PO018043NUP001,7,2017,2025,-0.03493045864908646,0.29579794750823496,0.7756580342174577
PO0180470U0001,6,2016,2021,0.20679940426605029,0.20680596803361512,0.5003158900644517
PO018047NR0001,9,2016,2025,0.16387312182907093,0.22361741583936048,0.6398221478847667
PO0180480U0004,7,2017,2025,-0.20467320775831124,0.290431793538984,0.7056600110378578
PO018048NRP001,6,2018,2025,-0.029472148352713074,0.30272355313221994,0.7525017981149105
PO0180490U0003,4,2015,2018,-0.1943306267239272,0.6336929513426658,1.4393518520918955
PO0180500U0002,4,2015,2018,0.13661176895046243,0.37819977559458484,0.8461665133978723
PO018062NRD002,7,2016,2025,0.15553907441023881,0.18091826726407678,0.4365586254350959
PO018065NRG001,5,2016,2025,0.18396301612938462,0.20452893909803715,0.4978294611866313
PO018068NRP001,3,2016,2018,0.009352199418549126,0.19954723275809202,0.3945951809616522
PO0180690U0002,4,2015,2019,-0.18317218276438016,0.3300787823277563,0.7735073529241452
PO018072NUP001,8,2017,2025,0.028869880278543498,0.2717623700964094,0.7625247264788183
PO0180810U0111,9,2016,2025,-0.06534807874977448,0.27635923273942675,0.7444259029879641
PO0180880U0001,9,2015,2025,0.1287747766410442,0.3132768629714509,1.011653700599188
PO0181100U0111,8,2017,2025,0.047377627749608194,0.2838953823162899,0.7350208795078614
PO0181140U0002,7,2017,2025,-0.16745577230897615,0.27937232502831555,0.6815511325306816
PO0181150U0006,7,2015,2021,-0.1403025881882525,0.3270818555283215,0.9635246014072127
PO0181180U0019,4,2015,2018,-0.2779707987079777,0.30967212730476257,0.7090999800060381
PO018146NRP001,5,2016,2020,0.035022255114256176,0.19424285641847558,0.4849383621460558
PO018147NUP001,9,2016,2025,0.24197942457480043,0.23919105482513908,0.6254576470089117
PO018162NUP001,8,2017,2025,0.05070676117688283,0.26656254216523295,0.6425920178784623
PO018173NUP001,8,2017,2025,0.03780551633262949,0.25928429031744754,0.7369223942952035
PO018176NUP001,8,2017,2025,-0.02175752775734404,0.2888031862089551,0.8254254074661782
PO0181770U0020,3,2015,2018,-0.2478990129297414,0.3896299626178937,0.7122548697576426
PO018180NUP001,6,2018,2025,-0.051414242810039756,0.30052631212340286,0.7532180190650399
