station,year,utm_e,utm_n,gw_aug_m,gw_aug_obs_n,gw_aug_mean_m_descriptive,gw_aug_first_date,gw_aug_last_date,gw_pre_last_janfeb_m,gw_pre_last_janfeb_date,gw_janfeb_obs_n
PO018003NR0009,2016,477798.0,5014771.0,0.7,1,0.7,2016-08-16,2016-08-16,2.18,2016-02-15,2
PO018003NR0009,2017,477798.0,5014771.0,1.15,1,1.15,2017-08-31,2017-08-31,2.18,2017-02-28,2
PO018003NR0009,2018,477798.0,5014771.0,0.62,1,0.62,2018-08-31,2018-08-31,2.1,2018-02-28,2
PO018003NR0009,2019,477798.0,5014771.0,0.35,1,0.35,2019-08-31,2019-08-31,2.2,2019-02-28,2
PO018003NR0009,2020,477798.0,5014771.0,0.55,1,0.55,2020-08-31,2020-08-31,2.03,2020-02-29,2
PO018003NR0009,2021,477798.0,5014771.0,0.92,1,0.92,2021-08-31,2021-08-31,2.28,2021-02-28,2
PO018003NR0009,2022,477798.0,5014771.0,0.86,1,0.86,2022-08-31,2022-08-31,2.58,2022-02-28,2
PO018003NR0009,2023,477798.0,5014771.0,0.53,1,0.53,2023-08-31,2023-08-31,2.09,2023-02-28,2
PO0180130U0005,2016,523764.0,5000838.0,10.7,1,10.7,2016-08-24,2016-08-24,12.2,2016-02-25,2
PO0180130U0005,2017,523764.0,5000838.0,10.3,1,10.3,2017-08-28,2017-08-28,11.95,2017-02-21,2
PO0180130U0005,2018,523764.0,5000838.0,10.34,1,10.34,2018-08-27,2018-08-27,11.9,2018-02-26,2
PO018014NRP001,2016,501192.230333,5013351.97267,12.13,1,12.13,2016-08-17,2016-08-17,13.94,2016-02-24,1
PO018014NRP001,2017,501192.230333,5013351.97267,12.28,1,12.28,2017-08-01,2017-08-01,13.56,2017-02-07,2
PO018014NRP001,2018,501192.230333,5013351.97267,12.35,1,12.35,2018-08-10,2018-08-10,13.5,2018-02-06,2
PO018014NRP001,2019,501192.230333,5013351.97267,12.35,1,12.35,2019-08-01,2019-08-01,13.53,2019-02-11,2
PO018014NRP001,2020,501192.230333,5013351.97267,11.79,1,11.79,2020-08-28,2020-08-28,12.84,2020-02-04,2
PO018014NRP001,2021,501192.230333,5013351.97267,11.64,1,11.64,2021-08-27,2021-08-27,13.01,2021-02-09,1
PO018032NR0001,2017,508567.0,4988324.0,12.62,1,12.62,2017-08-17,2017-08-17,11.76,2017-02-23,2
PO018032NR0001,2018,508567.0,4988324.0,12.7,1,12.7,2018-08-23,2018-08-23,12.64,2018-02-20,2
PO018032NR0001,2019,508567.0,4988324.0,13.09,1,13.09,2019-08-28,2019-08-28,12.77,2019-02-19,2
PO0180350U0002,2016,485404.0,5022621.0,5.85,1,5.85,2016-08-16,2016-08-16,7.73,2016-02-16,1
PO0180350U0002,2018,485404.0,5022621.0,4.2,1,4.2,2018-08-22,2018-08-22,7.25,2018-02-16,1
PO0180350U0002,2019,485404.0,5022621.0,4.0,1,4.0,2019-08-23,2019-08-23,8.2,2019-02-28,1
PO018039NR0001,2019,476494.0,5010571.0,1.39,1,1.39,2019-08-27,2019-08-27,3.07,2019-02-19,2
PO018039NR0001,2020,476494.0,5010571.0,1.47,1,1.47,2020-08-26,2020-08-26,2.57,2020-01-28,1
PO018039NR0001,2021,476494.0,5010571.0,1.35,1,1.35,2021-08-25,2021-08-25,2.4,2021-01-26,1
PO018039NR0001,2022,476494.0,5010571.0,1.8,1,1.8,2022-08-30,2022-08-30,3.1,2022-02-21,1
PO018039NR0001,2024,476494.0,5010571.0,1.52,1,1.52,2024-08-28,2024-08-28,2.6,2024-02-27,1
PO018039NR0001,2025,476494.0,5010571.0,1.37,1,1.37,2025-08-21,2025-08-21,2.79,2025-02-18,1
PO018039NRP001,2016,474622.390667,5007946.94967,2.41,1,2.41,2016-08-30,2016-08-30,5.54,2016-02-23,1
PO018039NRP001,2017,474622.390667,5007946.94967,1.9,1,1.9,2017-08-29,2017-08-29,5.2,2017-02-22,2
PO018039NRP001,2018,474622.390667,5007946.94967,2.6,1,2.6,2018-08-22,2018-08-22,5.26,2018-02-22,2
PO018043NUP001,2017,518426.612333,5011543.40033,2.05,1,2.05,2017-08-22,2017-08-22,2.3,2017-02-28,2
PO018043NUP001,2018,518426.612333,5011543.40033,1.98,1,1.98,2018-08-30,2018-08-30,2.2,2018-02-26,2
PO018043NUP001,2019,518426.612333,5011543.40033,2.06,1,2.06,2019-08-30,2019-08-30,2.3,2019-02-28,2
PO018043NUP001,2022,518426.612333,5011543.40033,2.1,1,2.1,2022-08-30,2022-08-30,2.3,2022-02-28,2
PO018043NUP001,2023,518426.612333,5011543.40033,2.1,1,2.1,2023-08-29,2023-08-29,2.3,2023-02-28,1
PO018043NUP001,2024,518426.612333,5011543.40033,1.55,1,1.55,2024-08-20,2024-08-20,1.65,2024-02-26,2
PO018043NUP001,2025,518426.612333,5011543.40033,1.75,1,1.75,2025-08-26,2025-08-26,1.85,2025-01-22,1
PO0180470U0001,2016,501288.0,4989873.0,8.2,1,8.2,2016-08-10,2016-08-10,7.9,2016-02-17,1
PO0180470U0001,2017,501288.0,4989873.0,8.61,1,8.61,2017-08-17,2017-08-17,8.26,2017-02-23,2
PO0180470U0001,2018,501288.0,4989873.0,8.68,1,8.68,2018-08-23,2018-08-23,8.85,2018-02-20,2
PO0180470U0001,2019,501288.0,4989873.0,8.95,1,8.95,2019-08-28,2019-08-28,8.62,2019-02-19,2
PO0180470U0001,2020,501288.0,4989873.0,8.12,1,8.12,2020-08-25,2020-08-25,7.56,2020-01-29,1
PO0180470U0001,2021,501288.0,4989873.0,8.23,1,8.23,2021-08-26,2021-08-26,7.23,2021-02-23,2
PO018047NR0001,2016,499957.0,4986727.0,5.24,1,5.24,2016-08-02,2016-08-02,4.5,2016-02-08,1
PO018047NR0001,2017,499957.0,4986727.0,6.58,1,6.58,2017-08-01,2017-08-01,5.8,2017-02-28,3
PO018047NR0001,2019,499957.0,4986727.0,7.04,1,7.04,2019-08-22,2019-08-22,6.79,2019-01-29,2
PO018047NR0001,2020,499957.0,4986727.0,5.28,1,5.28,2020-08-04,2020-08-04,5.41,2020-01-08,1
PO018047NR0001,2021,499957.0,4986727.0,5.1,1,5.1,2021-08-04,2021-08-04,4.14,2021-02-03,2
PO018047NR0001,2022,499957.0,4986727.0,7.1,1,7.1,2022-08-03,2022-08-03,5.95,2022-02-01,2
PO018047NR0001,2023,499957.0,4986727.0,7.68,1,7.68,2023-08-31,2023-08-31,7.4,2023-02-06,1
PO018047NR0001,2024,499957.0,4986727.0,5.78,1,5.78,2024-08-28,2024-08-28,7.37,2024-02-28,2
PO018047NR0001,2025,499957.0,4986727.0,5.4,1,5.4,2025-08-28,2025-08-28,4.87,2025-02-26,2
PO0180480U0004,2017,539643.0,5000554.0,5.44,1,5.44,2017-08-30,2017-08-30,5.05,2017-02-28,2
PO0180480U0004,2018,539643.0,5000554.0,5.0,1,5.0,2018-08-21,2018-08-21,5.0,2018-02-28,2
PO0180480U0004,2021,539643.0,5000554.0,5.1,1,5.1,2021-08-25,2021-08-25,4.75,2021-02-26,2
PO0180480U0004,2022,539643.0,5000554.0,5.7,1,5.7,2022-08-10,2022-08-10,5.0,2022-02-14,2
PO0180480U0004,2023,539643.0,5000554.0,5.0,1,5.0,2023-08-07,2023-08-07,4.7,2023-02-03,2
PO0180480U0004,2024,539643.0,5000554.0,4.55,1,4.55,2024-08-16,2024-08-16,5.1,2024-02-08,2
PO0180480U0004,2025,539643.0,5000554.0,4.65,1,4.65,2025-08-22,2025-08-22,4.4,2025-02-07,2
PO018048NRP001,2018,522279.911,5003718.75567,2.95,1,2.95,2018-08-21,2018-08-21,3.48,2018-01-30,1
PO018048NRP001,2021,522279.911,5003718.75567,3.15,1,3.15,2021-08-25,2021-08-25,2.76,2021-02-26,2
PO018048NRP001,2022,522279.911,5003718.75567,3.6,1,3.6,2022-08-10,2022-08-10,2.96,2022-02-14,2
PO018048NRP001,2023,522279.911,5003718.75567,3.38,1,3.38,2023-08-07,2023-08-07,2.8,2023-02-03,2
PO018048NRP001,2024,522279.911,5003718.75567,2.82,1,2.82,2024-08-16,2024-08-16,3.5,2024-02-08,2
PO018048NRP001,2025,522279.911,5003718.75567,3.0,1,3.0,2025-08-22,2025-08-22,2.8,2025-02-07,2
PO0180490U0003,2015,520341.0,4986376.0,4.64,1,4.64,2015-08-20,2015-08-20,2.29,2015-02-12,2
PO0180490U0003,2016,520341.0,4986376.0,5.73,1,5.73,2016-08-24,2016-08-24,2.77,2016-02-24,2
PO0180490U0003,2017,520341.0,4986376.0,5.91,1,5.91,2017-08-28,2017-08-28,3.12,2017-02-21,2
PO0180490U0003,2018,520341.0,4986376.0,5.71,1,5.71,2018-08-27,2018-08-27,2.6,2018-02-26,2
PO0180500U0002,2015,480174.0,5017487.0,3.8,1,3.8,2015-08-22,2015-08-22,3.92,2015-02-18,2
PO0180500U0002,2016,480174.0,5017487.0,3.9,1,3.9,2016-08-25,2016-08-25,4.4,2016-02-24,2
PO0180500U0002,2017,480174.0,5017487.0,3.6,1,3.6,2017-08-16,2017-08-16,4.2,2017-01-18,1
PO0180500U0002,2018,480174.0,5017487.0,4.01,1,4.01,2018-08-30,2018-08-30,3.81,2018-01-30,1
PO018062NRD002,2016,489193.0,4993809.0,6.66,1,6.66,2016-08-11,2016-08-11,7.18,2016-02-09,2
PO018062NRD002,2017,489193.0,4993809.0,5.86,1,5.86,2017-08-08,2017-08-08,7.9,2017-02-13,2
PO018062NRD002,2018,489193.0,4993809.0,5.75,1,5.75,2018-08-13,2018-08-13,7.9,2018-02-15,2
PO018062NRD002,2019,489193.0,4993809.0,7.28,1,7.28,2019-08-14,2019-08-14,7.88,2019-02-15,2
PO018062NRD002,2020,489193.0,4993809.0,6.28,1,6.28,2020-08-31,2020-08-31,7.47,2020-02-17,2
PO018062NRD002,2024,489193.0,4993809.0,6.22,1,6.22,2024-08-18,2024-08-18,7.12,2024-02-15,2
PO018062NRD002,2025,489193.0,4993809.0,6.89,1,6.89,2025-08-04,2025-08-04,7.86,2025-02-14,2
PO018065NRG001,2016,476409.0,4987902.0,1.92,1,1.92,2016-08-11,2016-08-11,4.19,2016-02-18,1
PO018065NRG001,2017,476409.0,4987902.0,2.26,1,2.26,2017-08-16,2017-08-16,3.87,2017-02-21,1
PO018065NRG001,2019,476409.0,4987902.0,1.77,1,1.77,2019-08-27,2019-08-27,4.0,2019-02-19,1
PO018065NRG001,2022,476409.0,4987902.0,1.8,1,1.8,2022-08-31,2022-08-31,4.24,2022-02-28,1
PO018065NRG001,2025,476409.0,4987902.0,1.8,1,1.8,2025-08-28,2025-08-28,3.6,2025-02-19,1
PO018068NRP001,2016,492857.0,5011583.0,18.9,1,18.9,2016-08-22,2016-08-22,20.7,2016-02-23,1
PO018068NRP001,2017,492857.0,5011583.0,19.9,1,19.9,2017-08-22,2017-08-22,20.9,2017-02-21,2
PO018068NRP001,2018,492857.0,5011583.0,19.6,1,19.6,2018-08-22,2018-08-22,21.2,2018-02-21,2
PO0180690U0002,2015,494013.0,5004960.0,4.59,1,4.59,2015-08-21,2015-08-21,5.12,2015-02-18,2
PO0180690U0002,2016,494013.0,5004960.0,6.2,1,6.2,2016-08-16,2016-08-16,5.8,2016-02-15,2
PO0180690U0002,2018,494013.0,5004960.0,5.5,1,5.5,2018-08-22,2018-08-22,5.7,2018-02-16,1
PO0180690U0002,2019,494013.0,5004960.0,5.2,1,5.2,2019-08-23,2019-08-23,6.06,2019-02-28,2
PO018072NUP001,2017,512563.9021,5011157.222,3.7,1,3.7,2017-08-22,2017-08-22,4.2,2017-01-31,1
PO018072NUP001,2018,512563.9021,5011157.222,3.05,1,3.05,2018-08-30,2018-08-30,4.2,2018-02-26,2
PO018072NUP001,2019,512563.9021,5011157.222,3.15,1,3.15,2019-08-30,2019-08-30,4.3,2019-02-28,2
PO018072NUP001,2021,512563.9021,5011157.222,3.35,1,3.35,2021-08-30,2021-08-30,3.5,2021-02-26,2
PO018072NUP001,2022,512563.9021,5011157.222,3.15,1,3.15,2022-08-30,2022-08-30,3.9,2022-02-28,2
PO018072NUP001,2023,512563.9021,5011157.222,3.7,1,3.7,2023-08-30,2023-08-30,4.6,2023-02-28,2
