year,column,rows_compared,mismatch_n,exact_reproduction
2024,gw_obs_n,28,0,True
2024,gw_janfeb_n,28,0,True
2024,gw_aug_n,28,0,True
2024,gw_pre_last_janfeb_m,28,0,True
2024,gw_pre_last_janfeb_date,28,0,True
2024,gw_aug_mean_m,28,0,True
2024,gw_aug_first_m,28,0,True
2024,gw_aug_last_m,28,0,True
2024,gw_aug_nearest_aug23_m,28,0,True
2025,gw_obs_n,26,0,True
2025,gw_janfeb_n,26,0,True
2025,gw_aug_n,26,0,True
2025,gw_pre_last_janfeb_m,26,0,True
2025,gw_pre_last_janfeb_date,26,0,True
2025,gw_aug_mean_m,26,0,True
2025,gw_aug_first_m,26,0,True
2025,gw_aug_last_m,26,0,True
2025,gw_aug_nearest_aug23_m,26,0,True
