station,radius_m,support_points_n,nearest_support_distance_m,farthest_included_support_distance_m
PO018003NR0009,5000,74,545.5816883470959,4998.356681637078
PO018003NR0009,10000,340,545.5816883470959,9952.264858410159
PO018003NR0009,20000,1209,545.5816883470959,19996.93644770581
PO0180130U0005,5000,64,414.701356812648,4978.3434659733375
PO0180130U0005,10000,217,414.701356812648,9960.32774176143
PO0180130U0005,20000,622,414.701356812648,19995.348344525297
PO018014NRP001,5000,49,248.84611805773892,4988.194218659242
PO018014NRP001,10000,251,248.84611805773892,9959.405705779947
PO018014NRP001,20000,1076,248.84611805773892,19981.417453308608
PO018032NR0001,5000,0,6050.4636530613825,
PO018032NR0001,10000,37,6050.4636530613825,9956.93938418859
PO018032NR0001,20000,335,6050.4636530613825,19967.50490707384
PO0180350U0002,5000,65,342.0732172347348,4986.886209843139
PO0180350U0002,10000,231,342.0732172347348,9981.30353836707
PO0180350U0002,20000,973,342.0732172347348,19994.596288556917
PO018039NR0001,5000,82,477.8743376485089,4914.444538090156
PO018039NR0001,10000,342,477.8743376485089,9991.622188307028
PO018039NR0001,20000,1255,477.8743376485089,19988.763694261706
PO018039NRP001,5000,89,148.213655973938,4980.728119956956
PO018039NRP001,10000,342,148.213655973938,9996.73740629198
PO018039NRP001,20000,1300,148.213655973938,19999.802882813663
PO018043NUP001,5000,82,538.2670129646241,4914.203614075866
PO018043NUP001,10000,325,538.2670129646241,9966.053467698315
PO018043NUP001,20000,862,538.2670129646241,19999.74980828513
PO0180470U0001,5000,12,1502.383373765717,4915.518440616657
PO0180470U0001,10000,109,1502.383373765717,9985.060039435786
PO0180470U0001,20000,464,1502.383373765717,19953.85684589965
PO018047NR0001,5000,1,4626.199511279665,4626.199511279665
PO018047NR0001,10000,56,4626.199511279665,9929.61624417325
PO018047NR0001,20000,411,4626.199511279665,19998.321061273073
PO0180480U0004,5000,35,264.33682322694233,4938.989702045675
PO0180480U0004,10000,102,264.33682322694233,9977.438232749086
PO0180480U0004,20000,288,264.33682322694233,19877.245388012354
PO018048NRP001,5000,85,448.9953297683334,4999.142558688261
PO018048NRP001,10000,255,448.9953297683334,9988.062888851415
PO018048NRP001,20000,711,448.9953297683334,19957.64163196094
PO0180490U0003,5000,0,9560.440291255733,
PO0180490U0003,10000,1,9560.440291255733,9560.440291255733
PO0180490U0003,20000,233,9560.440291255733,19996.256152933034
PO0180500U0002,5000,81,1225.0884528545762,4976.568509500352
PO0180500U0002,10000,323,1225.0884528545762,9978.021557779912
PO0180500U0002,20000,1130,1225.0884528545762,19936.420137331104
PO018062NRD002,5000,83,322.77104844761345,4982.860479731778
PO018062NRD002,10000,265,322.77104844761345,9961.461345608277
PO018062NRD002,20000,814,322.77104844761345,19971.915964706815
PO018065NRG001,5000,58,346.55331851075965,4911.657644298493
PO018065NRG001,10000,173,346.55331851075965,9993.4244440253
PO018065NRG001,20000,628,346.55331851075965,19986.834220539055
PO018068NRP001,5000,61,76.46233359310676,4895.985574152696
PO018068NRP001,10000,241,76.46233359310676,9999.81866966601
