omitted_station,remaining_n,remaining_wells,beta_hat,change_from_primary_beta,sign
PO018003NR0009,185,31,-0.34690674279958295,-0.04019758622409214,negative
PO0180130U0005,190,31,-0.3105465510769754,-0.00383739450148457,negative
PO018014NRP001,187,31,-0.30423404729000986,0.0024751092854809476,negative
PO018032NR0001,190,31,-0.303901539444311,0.0028076171311798293,negative
PO0180350U0002,190,31,-0.3596321001492763,-0.05292294357378552,negative
PO018039NR0001,187,31,-0.2927732844752659,0.0139358721002249,negative
PO018039NRP001,190,31,-0.32571923673059333,-0.019010080155102527,negative
PO018043NUP001,186,31,-0.2963049515787277,0.010404204996763089,negative
PO0180470U0001,187,31,-0.30358725265568964,0.003121903919801161,negative
PO018047NR0001,184,31,-0.21510591802024503,0.09160323855524577,negative
PO0180480U0004,186,31,-0.2834950572810572,0.023214099294433632,negative
PO018048NRP001,187,31,-0.3141512991809126,-0.007442142605421809,negative
PO0180490U0003,189,31,0.08613606810603666,0.3928452246815275,positive
PO0180500U0002,189,31,-0.3182520131530922,-0.011542856577601401,negative
PO018062NRD002,186,31,-0.3573917784198504,-0.05068262184435962,negative
PO018065NRG001,188,31,-0.3546014798089647,-0.04789232323347392,negative
PO018068NRP001,190,31,-0.32094491888880167,-0.014235762313310862,negative
PO0180690U0002,189,31,-0.36915687743735104,-0.062447720861860234,negative
PO018072NUP001,185,31,-0.29179367338748974,0.014915483188001066,negative
PO0180810U0111,184,31,-0.264549728209885,0.04215942836560582,negative
PO0180880U0001,184,31,-0.30653184054187443,0.00017731603361637038,negative
PO0181100U0111,185,31,-0.3484335695287659,-0.041724412953275114,negative
PO0181140U0002,186,31,-0.3131837326604322,-0.006474576084941397,negative
PO0181150U0006,186,31,-0.30325746943262494,0.003451687142865867,negative
PO0181180U0019,189,31,-0.30091039891079036,0.005798757664700449,negative
PO018146NRP001,188,31,-0.30539564542372233,0.001313511151768476,negative
PO018147NUP001,184,31,-0.3301601425299372,-0.02345098595444639,negative
PO018162NUP001,185,31,-0.3135305172177221,-0.006821360642231322,negative
PO018173NUP001,185,31,-0.3235564914861455,-0.01684733491065471,negative
PO018176NUP001,185,31,-0.29597101907761386,0.010738137497876943,negative
PO0181770U0020,190,31,-0.20128968617896043,0.10541947039653038,negative
PO018180NUP001,187,31,-0.31452634756644116,-0.007817190990950351,negative
