sample_a,sample_b,n_a,n_b,intersection_n,union_n,a_only_n,b_only_n,jaccard
5km,10km,186,193,186,193,0,7,0.9637305699481865
5km,20km,186,203,186,203,0,17,0.916256157635468
5km,complete4_10km,186,157,154,189,32,3,0.8148148148148148
5km,frozen_primary_10km,186,193,186,193,0,7,0.9637305699481865
10km,20km,193,203,193,203,0,10,0.9507389162561576
10km,complete4_10km,193,157,157,193,36,0,0.8134715025906736
10km,frozen_primary_10km,193,193,193,193,0,0,1.0
20km,complete4_10km,203,157,157,203,46,0,0.7733990147783252
20km,frozen_primary_10km,203,193,193,203,10,0,0.9507389162561576
complete4_10km,frozen_primary_10km,157,193,157,193,0,36,0.8134715025906736
