station,year,eligible_5km,eligible_10km,eligible_20km,eligible_complete4_10km,in_frozen_primary_10km
PO018003NR0009,2016,True,True,True,True,True
PO018003NR0009,2017,True,True,True,True,True
PO018003NR0009,2018,True,True,True,True,True
PO018003NR0009,2019,True,True,True,True,True
PO018003NR0009,2020,True,True,True,True,True
PO018003NR0009,2021,True,True,True,True,True
PO018003NR0009,2022,True,True,True,True,True
PO018003NR0009,2023,True,True,True,True,True
PO0180130U0005,2016,True,True,True,False,True
PO0180130U0005,2017,True,True,True,False,True
PO0180130U0005,2018,True,True,True,False,True
PO018014NRP001,2016,True,True,True,True,True
PO018014NRP001,2017,True,True,True,True,True
PO018014NRP001,2018,True,True,True,True,True
PO018014NRP001,2019,True,True,True,True,True
PO018014NRP001,2020,True,True,True,True,True
PO018014NRP001,2021,True,True,True,True,True
PO018032NR0001,2017,False,True,True,True,True
PO018032NR0001,2018,False,True,True,True,True
PO018032NR0001,2019,False,True,True,True,True
PO0180350U0002,2016,True,True,True,True,True
PO0180350U0002,2018,True,True,True,True,True
PO0180350U0002,2019,True,True,True,True,True
PO018039NR0001,2019,True,True,True,True,True
PO018039NR0001,2020,True,True,True,True,True
PO018039NR0001,2021,True,True,True,True,True
PO018039NR0001,2022,True,True,True,True,True
PO018039NR0001,2024,True,True,True,True,True
PO018039NR0001,2025,True,True,True,True,True
PO018039NRP001,2016,True,True,True,True,True
PO018039NRP001,2017,True,True,True,True,True
PO018039NRP001,2018,True,True,True,True,True
PO018043NUP001,2017,True,True,True,True,True
PO018043NUP001,2018,True,True,True,True,True
PO018043NUP001,2019,True,True,True,True,True
PO018043NUP001,2022,True,True,True,True,True
PO018043NUP001,2023,True,True,True,True,True
PO018043NUP001,2024,True,True,True,True,True
PO018043NUP001,2025,True,True,True,True,True
PO0180470U0001,2016,True,True,True,True,True
PO0180470U0001,2017,True,True,True,True,True
PO0180470U0001,2018,True,True,True,True,True
PO0180470U0001,2019,True,True,True,True,True
PO0180470U0001,2020,True,True,True,True,True
PO0180470U0001,2021,True,True,True,True,True
PO018047NR0001,2016,True,True,True,True,True
PO018047NR0001,2017,True,True,True,True,True
PO018047NR0001,2019,True,True,True,True,True
PO018047NR0001,2020,True,True,True,True,True
PO018047NR0001,2021,True,True,True,True,True
PO018047NR0001,2022,True,True,True,True,True
PO018047NR0001,2023,True,True,True,True,True
PO018047NR0001,2024,True,True,True,True,True
PO018047NR0001,2025,True,True,True,True,True
PO0180480U0004,2017,True,True,True,False,True
PO0180480U0004,2018,True,True,True,False,True
PO0180480U0004,2021,True,True,True,False,True
PO0180480U0004,2022,True,True,True,False,True
PO0180480U0004,2023,True,True,True,False,True
PO0180480U0004,2024,True,True,True,False,True
PO0180480U0004,2025,True,True,True,False,True
PO018048NRP001,2018,True,True,True,True,True
PO018048NRP001,2021,True,True,True,False,True
PO018048NRP001,2022,True,True,True,False,True
PO018048NRP001,2023,True,True,True,False,True
PO018048NRP001,2024,True,True,True,False,True
PO018048NRP001,2025,True,True,True,False,True
PO0180490U0003,2015,False,True,True,False,True
PO0180490U0003,2016,False,True,True,False,True
PO0180490U0003,2017,False,True,True,False,True
PO0180490U0003,2018,False,True,True,False,True
PO0180500U0002,2015,True,True,True,True,True
PO0180500U0002,2016,True,True,True,True,True
PO0180500U0002,2017,True,True,True,True,True
PO0180500U0002,2018,True,True,True,True,True
PO018062NRD002,2016,True,True,True,True,True
PO018062NRD002,2017,True,True,True,True,True
PO018062NRD002,2018,True,True,True,True,True
PO018062NRD002,2019,True,True,True,True,True
PO018062NRD002,2020,True,True,True,True,True
PO018062NRD002,2024,True,True,True,True,True
PO018062NRD002,2025,True,True,True,True,True
PO018065NRG001,2016,True,True,True,True,True
PO018065NRG001,2017,True,True,True,True,True
PO018065NRG001,2019,True,True,True,True,True
PO018065NRG001,2022,True,True,True,True,True
PO018065NRG001,2025,True,True,True,True,True
PO018068NRP001,2016,True,True,True,True,True
PO018068NRP001,2017,True,True,True,True,True
PO018068NRP001,2018,True,True,True,True,True
PO0180690U0002,2015,True,True,True,True,True
PO0180690U0002,2016,True,True,True,True,True
PO0180690U0002,2018,True,True,True,True,True
PO0180690U0002,2019,True,True,True,True,True
PO018072NUP001,2017,True,True,True,True,True
PO018072NUP001,2018,True,True,True,True,True
PO018072NUP001,2019,True,True,True,True,True
PO018072NUP001,2021,True,True,True,True,True
PO018072NUP001,2022,True,True,True,True,True
PO018072NUP001,2023,True,True,True,True,True
PO018072NUP001,2024,True,True,True,True,True
PO018072NUP001,2025,True,True,True,True,True
PO0180810U0111,2016,True,True,True,True,True
PO0180810U0111,2017,True,True,True,True,True
PO0180810U0111,2018,True,True,True,True,True
PO0180810U0111,2019,True,True,True,True,True
PO0180810U0111,2021,True,True,True,True,True
PO0180810U0111,2022,True,True,True,True,True
PO0180810U0111,2023,True,True,True,True,True
PO0180810U0111,2024,True,True,True,True,True
PO0180810U0111,2025,True,True,True,True,True
PO0180880U0001,2015,True,True,True,True,True
PO0180880U0001,2016,True,True,True,True,True
PO0180880U0001,2017,True,True,True,True,True
PO0180880U0001,2018,True,True,True,True,True
PO0180880U0001,2019,True,True,True,True,True
PO0180880U0001,2020,True,True,True,True,True
PO0180880U0001,2021,True,True,True,True,True
PO0180880U0001,2022,True,True,True,True,True
PO0180880U0001,2025,True,True,True,True,True
PO0181100U0111,2017,True,True,True,True,True
PO0181100U0111,2018,True,True,True,True,True
PO0181100U0111,2019,True,True,True,True,True
PO0181100U0111,2021,True,True,True,True,True
PO0181100U0111,2022,True,True,True,True,True
PO0181100U0111,2023,True,True,True,True,True
PO0181100U0111,2024,True,True,True,True,True
PO0181100U0111,2025,True,True,True,True,True
PO0181140U0002,2017,True,True,True,False,True
PO0181140U0002,2018,True,True,True,False,True
PO0181140U0002,2021,True,True,True,False,True
PO0181140U0002,2022,True,True,True,False,True
PO0181140U0002,2023,True,True,True,False,True
PO0181140U0002,2024,True,True,True,False,True
PO0181140U0002,2025,True,True,True,False,True
PO0181150U0006,2015,True,True,True,True,True
PO0181150U0006,2016,True,True,True,True,True
PO0181150U0006,2017,True,True,True,True,True
PO0181150U0006,2018,True,True,True,True,True
PO0181150U0006,2019,True,True,True,True,True
PO0181150U0006,2020,True,True,True,True,True
PO0181150U0006,2021,True,True,True,True,True
PO0181180U0019,2015,True,True,True,False,True
