station,5km_well_years,5km_ever_eligible,10km_well_years,10km_ever_eligible,20km_well_years,20km_ever_eligible,complete4_10km_well_years,complete4_10km_ever_eligible,frozen_primary_10km_well_years,frozen_primary_10km_ever_eligible
PO018003NR0009,8,True,8,True,8,True,8,True,8,True
PO0180130U0005,3,True,3,True,3,True,0,False,3,True
PO018014NRP001,6,True,6,True,6,True,6,True,6,True
PO018032NR0001,0,False,3,True,3,True,3,True,3,True
PO0180350U0002,3,True,3,True,3,True,3,True,3,True
PO018039NR0001,6,True,6,True,6,True,6,True,6,True
PO018039NRP001,3,True,3,True,3,True,3,True,3,True
PO018043NUP001,7,True,7,True,7,True,7,True,7,True
PO0180470U0001,6,True,6,True,6,True,6,True,6,True
PO018047NR0001,9,True,9,True,9,True,9,True,9,True
PO0180480U0004,7,True,7,True,7,True,0,False,7,True
PO018048NRP001,6,True,6,True,6,True,1,True,6,True
PO0180490U0003,0,False,4,True,4,True,0,False,4,True
PO0180500U0002,4,True,4,True,4,True,4,True,4,True
PO018062NRD002,7,True,7,True,7,True,7,True,7,True
PO018065NRG001,5,True,5,True,5,True,5,True,5,True
PO018068NRP001,3,True,3,True,3,True,3,True,3,True
PO0180690U0002,4,True,4,True,4,True,4,True,4,True
PO018072NUP001,8,True,8,True,8,True,8,True,8,True
PO0180810U0111,9,True,9,True,9,True,9,True,9,True
PO0180880U0001,9,True,9,True,9,True,9,True,9,True
PO0181100U0111,8,True,8,True,8,True,8,True,8,True
PO0181140U0002,7,True,7,True,7,True,0,False,7,True
PO0181150U0006,7,True,7,True,7,True,7,True,7,True
PO0181180U0019,4,True,4,True,4,True,0,False,4,True
PO0181220U0001,0,False,0,False,3,True,0,False,0,False
PO018146NRP001,5,True,5,True,5,True,5,True,5,True
PO018147NUP001,9,True,9,True,9,True,9,True,9,True
PO0181550U0001,0,False,0,False,7,True,0,False,0,False
PO018162NUP001,8,True,8,True,8,True,8,True,8,True
PO018173NUP001,8,True,8,True,8,True,8,True,8,True
PO018176NUP001,8,True,8,True,8,True,8,True,8,True
PO0181770U0020,3,True,3,True,3,True,3,True,3,True
PO018180NUP001,6,True,6,True,6,True,0,False,6,True
